red;green;blue;luma;red normalized (0-255);green normalized (0-255);blue normalized (0-255);luma normalized (0-255);
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;1;0;0;0;0;0;0;
0;4;0;0;0;0;0;0;
0;2;0;0;0;0;0;0;
0;3;0;0;0;0;0;0;
0;7;0;0;0;1;0;0;
0;31;0;0;0;3;0;0;
0;32;0;0;0;3;0;0;
0;90;0;0;0;9;0;0;
0;121;0;0;0;12;0;0;
0;265;0;0;0;25;0;0;
0;216;0;0;0;21;0;0;
0;450;0;0;0;43;0;0;
0;569;0;0;0;55;0;0;
0;712;0;0;0;68;0;0;
0;881;1;0;0;85;0;0;
0;912;0;0;0;87;0;0;
0;1394;0;0;0;134;0;0;
0;1681;0;0;0;161;0;0;
0;1795;0;0;0;172;0;0;
0;1741;0;0;0;167;0;0;
0;2387;0;0;0;229;0;0;
0;1874;0;0;0;180;0;0;
0;2391;0;0;0;229;0;0;
0;2178;0;0;0;209;0;0;
0;2658;0;2;0;255;0;0;
0;2173;0;2;0;208;0;0;
0;2244;0;4;0;215;0;0;
0;2111;1;13;0;203;0;1;
0;1983;0;21;0;190;0;2;
0;1780;1;34;0;171;0;3;
0;1951;0;64;0;187;0;6;
0;1724;1;87;0;165;0;8;
0;1541;0;158;0;148;0;14;
0;1385;0;188;0;133;0;17;
0;1374;1;241;0;132;0;22;
0;1238;0;329;0;119;0;30;
0;1128;0;457;0;108;0;41;
0;1116;1;563;0;107;0;51;
0;1012;1;712;0;97;0;64;
0;1143;2;912;0;110;0;82;
0;1065;2;1072;0;102;0;96;
0;1026;8;1293;0;98;1;116;
0;1112;20;1534;0;107;2;138;
0;917;25;1830;0;88;2;165;
0;1100;70;1879;0;106;5;169;
0;1072;102;2061;0;103;8;185;
0;1084;138;2208;0;104;11;199;
0;1018;248;2179;0;98;19;196;
0;1150;347;2289;0;110;27;206;
0;1053;487;2228;0;101;38;200;
0;1121;717;2220;0;108;56;200;
0;1030;880;2219;0;99;69;200;
0;1145;1349;1999;0;110;106;180;
0;1122;1636;1843;0;108;128;166;
0;1079;1867;1789;0;104;146;161;
1;1292;2359;1804;0;124;185;162;
0;1377;2423;1532;0;132;190;138;
1;1223;2532;1415;0;117;199;127;
1;1405;2786;1305;0;135;219;117;
8;1662;3045;1186;1;159;239;107;
5;1725;3250;1127;0;165;255;101;
10;1955;3119;988;1;188;245;89;
11;1945;3002;991;1;187;236;89;
19;2178;3073;941;1;209;241;85;
37;2000;2936;865;2;192;230;78;
33;2036;2707;801;2;195;212;72;
41;1824;2699;779;3;175;212;70;
51;1857;2604;825;3;178;204;74;
75;1789;2846;825;5;172;223;74;
104;1806;2769;837;7;173;217;75;
132;1710;3010;862;9;164;236;78;
179;1798;3191;798;12;172;250;72;
194;1607;3150;824;13;154;247;74;
243;1612;3161;915;16;155;248;82;
238;1522;3144;943;15;146;247;85;
337;1569;3214;907;22;151;252;82;
391;1509;3160;889;25;145;248;80;
413;1492;2987;937;27;143;234;84;
528;1552;3054;992;34;149;240;89;
631;1471;3083;953;41;141;242;86;
706;1536;2883;915;46;147;226;82;
788;1452;2730;902;51;139;214;81;
1012;1586;2841;1005;65;152;223;90;
1164;1650;2853;1006;75;158;224;90;
1149;1646;3015;979;74;158;237;88;
1257;1826;3003;1064;81;175;236;96;
1473;1925;3040;1065;95;185;239;96;
1512;1881;3014;1116;98;180;236;100;
1522;1947;2954;1148;98;187;232;103;
1422;2124;2936;1195;92;204;230;107;
1673;2044;3052;1248;108;196;239;112;
1609;2098;3041;1243;104;201;239;112;
1596;2136;2891;1385;103;205;227;125;
1605;2428;2912;1428;104;233;228;128;
1586;2105;2948;1629;102;202;231;146;
1666;2104;2770;1715;107;202;217;154;
1621;1861;2656;1801;105;179;208;162;
1454;1895;2725;2055;94;182;214;185;
1591;1810;2661;2083;103;174;209;187;
1404;1801;2588;2054;91;173;203;185;
1395;1723;2725;2030;90;165;214;183;
1318;1762;2798;1998;85;169;220;180;
1355;1517;2779;1867;87;146;218;168;
1154;1598;2615;1725;74;153;205;155;
1134;1671;2731;1713;73;160;214;154;
965;1667;2710;1600;62;160;213;144;
948;1591;2743;1433;61;153;215;129;
842;1627;2633;1400;54;156;207;126;
780;1797;2693;1373;50;172;211;123;
762;1700;2696;1360;49;163;212;122;
730;1648;2702;1348;47;158;212;121;
724;1761;2830;1450;47;169;222;130;
699;1710;2930;1406;45;164;230;126;
634;1639;2936;1470;41;157;230;132;
675;1660;3119;1387;44;159;245;125;
591;1702;2900;1534;38;163;228;138;
617;1792;3025;1570;40;172;237;141;
614;1686;3189;1642;40;162;250;148;
599;1640;2942;1584;39;157;231;142;
536;1885;3046;1817;35;181;239;163;
618;1955;2847;1833;40;188;223;165;
553;1935;2730;1882;36;186;214;169;
558;2100;2436;2063;36;201;191;185;
589;2033;2200;2186;38;195;173;197;
567;2019;2105;2381;37;194;165;214;
562;1968;1924;2370;36;189;151;213;
559;2166;1781;2501;36;208;140;225;
653;2024;1551;2563;42;194;122;230;
636;1897;1423;2587;41;182;112;233;
653;2148;1233;2385;42;206;97;214;
718;2125;1158;2263;46;204;91;203;
615;2189;1023;2087;40;210;80;188;
645;1907;998;2004;42;183;78;180;
675;1761;978;1876;44;169;77;169;
691;1659;926;1934;45;159;73;174;
755;1619;912;2062;49;155;72;185;
741;1447;865;2216;48;139;68;199;
667;1364;819;2313;43;131;64;208;
717;1333;821;2421;46;128;64;218;
740;1238;827;2427;48;119;65;218;
721;1096;818;2468;47;105;64;222;
798;1033;811;2575;51;99;64;232;
773;1064;800;2497;50;102;63;225;
778;976;747;2454;50;94;59;221;
778;1025;740;2371;50;98;58;213;
812;974;823;2339;52;93;65;210;
774;985;822;2367;50;94;64;213;
760;956;821;2363;49;92;64;212;
788;944;831;2292;51;91;65;206;
758;836;882;2586;49;80;69;233;
825;805;885;2669;53;77;69;240;
763;799;808;2834;49;77;63;255;
826;857;947;2836;53;82;74;255;
827;819;956;2706;53;79;75;243;
838;776;957;2604;54;74;75;234;
935;712;977;2310;60;68;77;208;
869;673;943;2297;56;65;74;207;
886;622;883;1937;57;60;69;174;
918;573;882;1801;59;55;69;162;
923;544;893;1671;60;52;70;150;
898;508;905;1534;58;49;71;138;
968;522;860;1403;62;50;67;126;
881;469;855;1384;57;45;67;124;
914;487;850;1297;59;47;67;117;
894;431;801;1238;58;41;63;111;
1043;481;777;1260;67;46;61;113;
975;516;798;1193;63;50;63;107;
1060;464;770;1224;68;45;60;110;
1069;475;736;1288;69;46;58;116;
1152;452;733;1325;74;43;58;119;
1286;609;674;1316;83;58;53;118;
1441;568;655;1213;93;54;51;109;
1541;515;659;1266;99;49;52;114;
1565;606;649;1236;101;58;51;111;
1720;616;645;1147;111;59;51;103;
1784;695;626;1088;115;67;49;98;
1823;641;606;964;118;61;48;87;
1747;651;592;933;113;62;46;84;
1579;792;594;776;102;76;47;70;
1627;764;583;698;105;73;46;63;
1499;759;564;709;97;73;44;64;
1491;738;530;672;96;71;42;60;
1349;795;506;695;87;76;40;62;
1450;786;502;664;94;75;39;60;
1456;687;390;636;94;66;31;57;
1407;675;380;740;91;65;30;67;
1510;780;324;770;97;75;25;69;
1488;761;305;831;96;73;24;75;
1597;633;283;878;103;61;22;79;
1629;729;230;940;105;70;18;85;
1622;711;193;933;105;68;15;84;
1770;712;188;964;114;68;15;87;
1748;760;161;986;113;73;13;89;
1863;777;140;876;120;75;11;79;
1815;789;101;880;117;76;8;79;
1791;866;108;895;116;83;8;80;
1930;848;84;877;125;81;7;79;
1833;810;87;845;118;78;7;76;
1882;871;69;861;121;84;5;77;
1905;802;64;833;123;77;5;75;
2103;730;65;928;136;70;5;83;
2182;682;53;923;141;65;4;83;
2395;621;32;1046;155;60;3;94;
2563;522;32;1024;165;50;3;92;
2880;434;28;1038;186;42;2;93;
2960;369;25;1007;191;35;2;91;
3384;339;21;984;218;33;2;88;
3475;293;16;1010;224;28;1;91;
3676;289;22;825;237;28;2;74;
3461;236;7;777;223;23;1;70;
3330;170;9;583;215;16;1;52;
3301;175;4;492;213;17;0;44;
3051;146;1;405;197;14;0;36;
2819;123;0;379;182;12;0;34;
2778;112;1;329;179;11;0;30;
2681;112;2;276;173;11;0;25;
2746;83;0;228;177;8;0;21;
2788;59;1;217;180;6;0;20;
2986;55;0;192;193;5;0;17;
3140;55;1;131;203;5;0;12;
3239;30;0;92;209;3;0;8;
